palette.c 844 Draw_all_palette_sliders | j1 : 45###
palette.c 844 Draw_all_palette_sliders | j1 : 66###
palette.c 844 Draw_all_palette_sliders | j1 : 99###
palette.c 844 Draw_all_palette_sliders | j1 : 148###
palette.c 844 Draw_all_palette_sliders | j1 : 165###
palette.c 844 Draw_all_palette_sliders | j1 : 198###
palette.c 844 Draw_all_palette_sliders | j1 : 222###
palette.c 844 Draw_all_palette_sliders | j1 : 239###
palette.c 844 Draw_all_palette_sliders | j1 : 239###
palette.c 844 Draw_all_palette_sliders | j1 : 196###
palette.c 844 Draw_all_palette_sliders | j1 : 173###
palette.c 844 Draw_all_palette_sliders | j1 : 173###
palette.c 844 Draw_all_palette_sliders | j1 : 173###
palette.c 844 Draw_all_palette_sliders | j1 : 143###
palette.c 844 Draw_all_palette_sliders | j1 : 105###
palette.c 844 Draw_all_palette_sliders | j1 : 203###
palette.c 844 Draw_all_palette_sliders | j1 : 255###
palette.c 844 Draw_all_palette_sliders | j1 : 255###
palette.c 844 Draw_all_palette_sliders | j1 : 156###
palette.c 844 Draw_all_palette_sliders | j1 : 184###
palette.c 844 Draw_all_palette_sliders | j1 : 90###
palette.c 844 Draw_all_palette_sliders | j1 : 99###
palette.c 844 Draw_all_palette_sliders | j1 : 132###
